image_id,fname,sample_1,sample_2,sample_3,sample_4,sample_5
139,000000000139.jpg,"a living area with a couch, a table and tv",the woman is standing near the table and tv,a woman standing in the living room area in front of a large tv,a living room and dining area with yellow walls,a television is on and a person is eating
285,000000000285.jpg,there is a large brown bear that looks like it is making an unhappy face,a brown bear is looking down while lying in the grass,a large bear with a missing tooth and an alert look on its face,a brown bear looking down while in the grass,the bear is looking intently at whats up in the sky
632,000000000632.jpg,a bed room with a neatly made bed next to a window,"a bedroom with a bookcase, a window, and a bed",there is a bedroom with a large bed next to the bookshelf,"the bedroom is full of books, bookshelf, and a desk","a bedroom with a large window, bookshelf, and blue bed"
724,000000000724.jpg,a red and white stop sign sitting on the side of a road,a stop sign at an intersection with lots of trees,a stop sign that is on the street,a sign that is sitting in the grass,a street intersection has an upside down stop sign
776,000000000776.jpg,three teddy bears laying on top of each other,stuffed teddy bears are arranged on the couch,four teddy bears laying together in bed together,three teddy bears laying next to each other on a bed,some stuffed bears laying side by side together
785,000000000785.jpg,a man in the snow on skis on a slope,a person is standing on the snow on skis,"a woman on skis and poles, on a hill",a person wearing skis skiing down a snowy slope,a woman is skiing on the snow bank
802,000000000802.jpg,kitchen with white appliances and a tiled floor,a small kitchen with refrigerator and white stove,the fridge in the kitchen has no glass doors,an image of a clean kitchen setting with tile flooring,a view of a small kitchen with white appliances
872,000000000872.jpg,two men standing on the field playing baseball,"two men on a field playing baseball, one wearing a catcher's mitt",two baseball players in the outfield during a game,a couple of baseball players playing a game of baseball,a couple of men standing on a field playing a game of baseball
885,000000000885.jpg,a man standing on top of a tennis court holding a racquet,a man holding a tennis racquet on a tennis court,a male tennis player is swinging his racket,a man that is standing on a tennis court with a racquet,a man holding a tennis racquet on a court
1000,000000001000.jpg,an image of people at a tennis match,a group of tennis players pose for a photo on the court,young boys and girls posing with their tennis rackets,a tennis team posing for a group photo,a large group of people posing for a picture in front of a tennis court
1268,000000001268.jpg,a person taking a photo of a swan on the river,some people and a bird are by the water,people standing and sitting next to the water while there is a bird flying under an,a group of people sitting next to a body of water,people taking pictures of a lake below a large bridge
1296,000000001296.jpg,a woman looking at her phone with a hello kitty on the screen,a woman in a gray and white top looking at her cell phone,there is a asian woman holding a cell phone,the young woman has an electronic device in her hand,there is a girl that is looking at a cellphone
1353,000000001353.jpg,some kids in a train on the street,kids in a ride on a train at a museum,there are some children riding in a small wooden train,children ride a kiddie car in an indoor area,a small children ride on a carnival train
1425,000000001425.jpg,a half eaten sandwich is sitting on a plate with dip,a sandwich is on a plate with a mug,a black and white photo of a half eaten sandwich,a half eaten burger sitting on top of a white plate,the burger is covered with some fried meat
1490,000000001490.jpg,a man on a surfboard paddling across a body of water,a man with a hat standing on a surfboard in the ocean,a man on a surf board with a paddle,a man standing on his surfboard with a paddle in the water,a person standing on a surfboard in the water
1503,000000001503.jpg,a white computer desk with various computers on it,there are computers and a laptop on this table,the computer has a laptop on the desk,there is a desktop computer and two laptops on the desk,"there is a computer, laptop and computer monitor on a desk"
1532,000000001532.jpg,several highway signs on an overpass above a highway,multiple lanes with white signs are in a traffic jam,cars are traveling on the highway under a bridge,"a freeway with traffic, and freeway signs above it",highway signage on the highway with vehicles travelling in both directions
1584,000000001584.jpg,a red double decker bus is driving down the street,the double decker bus is driving down the road,a red bus is driving down the street,a red double decker bus on the road,a red double decker bus is shown in a city
1675,000000001675.jpg,a black and white cat is laying on the back of a computer,there is a black and white cat that is laying down,a cat is lying on the keyboard of a computer,a black cat laying on top of a laptop,a black and white cat sitting on top of a keyboard
1761,000000001761.jpg,three airplanes flying above a bridge over water,three planes are flying above the sydney bridge,two planes flying over the sydney harbour bridge,the planes are flying over the water by the bridge,there are two airplanes that are flying above the sydney harbor
1818,000000001818.jpg,there are two zebras that are standing next to each other,black and white photograph of zebra feeding with young,a mother zebra nurses her baby while standing in the grass,zebras are rubbing noses against each other in black and white,an adult zebra and a young zebra grazing on grass
1993,000000001993.jpg,the room has an empty bed next to a table,"a room with a bed, desk, chairs and two windows",this bedroom is decorated in brick and purple tones,"the small room has a bed, desk and chair",a purple and blue bed in the corner of a room
