image_id,fname,caption,gt,mentioned,wrong,is_hall
139,000000000139.jpg,a living room and dining area with yellow walls,book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase,,,False
285,000000000285.jpg,a large bear with a missing tooth and an alert look on its face,bear,bear,,False
632,000000000632.jpg,"a bedroom with a large window, bookshelf, and blue bed",bed|book|chair|potted plant,bed,,False
724,000000000724.jpg,a stop sign on a street corner with a dols sign on it,car|stop sign|truck,stop sign,,False
776,000000000776.jpg,three teddy bears laying on top of each other,bear|bed|teddy bear,teddy bear,,False
785,000000000785.jpg,a woman in a red jacket skiing down a hill,person|skis,person,,False
802,000000000802.jpg,a small kitchen with refrigerator and white stove,oven|refrigerator,refrigerator|oven,,False
872,000000000872.jpg,a baseball player is running to first base,baseball glove|person|sports ball,person,,False
885,000000000885.jpg,a male tennis player is swinging his racket,person|sports ball|tennis racket,person|person|tennis racket,,False
1000,000000001000.jpg,young boys and girls posing with their tennis rackets,backpack|handbag|person|tennis racket,person|person|tennis racket,,False
1268,000000001268.jpg,a woman taking a picture of a bird under a bridge,backpack|bird|boat|cell phone|handbag|person,person|bird,,False
1296,000000001296.jpg,a woman looking at her phone with a hello kitty on the screen,cell phone|clock|person,person|cell phone,,False
1353,000000001353.jpg,children ride a kiddie car in an indoor area,orange|person|train,person|car,car,True
1425,000000001425.jpg,a black and white photo of a half eaten sandwich,bowl|dining table|sandwich,sandwich,,False
1490,000000001490.jpg,a man on a surfboard paddling across a body of water,person|surfboard,person|surfboard,,False
1503,000000001503.jpg,a white computer desk with various computers on it,apple|dining table|keyboard|laptop|mouse|tv,laptop|dining table|laptop,,False
1532,000000001532.jpg,a freeway with several signs above it and cars driving underneath,car|truck,car,,False
1584,000000001584.jpg,a red double decker bus is shown in a city,bus|person,,,False
1675,000000001675.jpg,a black and white cat is laying on the back of a computer,cat|keyboard|laptop,cat|laptop,,False
1761,000000001761.jpg,two planes flying over the sydney harbour bridge,airplane|person,airplane,,False
1818,000000001818.jpg,zebras are rubbing noses against each other in black and white,giraffe|person|zebra,zebra,,False
1993,000000001993.jpg,a purple and blue bed in the corner of a room,bed|chair|dining table,bed,,False
2006,000000002006.jpg,the bus is purple with designs on it,bus|person|tie|traffic light,,,False
2149,000000002149.jpg,close up image of green apples in bowl,apple|bowl,apple|bowl,,False
2153,000000002153.jpg,a baseball player is up to bat at a game,baseball bat|person|sports ball,person,,False
2157,000000002157.jpg,"a table with a cake, fruit and wine glasses",cake|cup|dining table|knife|sandwich|wine glass,dining table|cake|wine glass,,False
2261,000000002261.jpg,a person riding a surf board in the ocean,person|surfboard,person,,False
2299,000000002299.jpg,group photograph of children with older school names,person|tie,person,,False
2431,000000002431.jpg,"a table holding two cups, and some bread and wine",cup|dining table|knife|person|spoon|wine glass,dining table|cup,,False
2473,000000002473.jpg,a man skiing jumping high into the air with trees in the background,person|skis,person,,False
2532,000000002532.jpg,person standing at the top of a snowy mountain with ski poles,person|skis,person|skis,,False
2587,000000002587.jpg,a banana and a doughnut in a bag,banana|donut|sandwich,banana|donut,,False
2592,000000002592.jpg,mug with the pirate's chest emblem and a large knife sitting on the counter,cup|dining table|knife,knife,,False
2685,000000002685.jpg,people are shopping at an antiques and wine shop,bottle|cup|handbag|person|wine glass,person,,False
2923,000000002923.jpg,large shrimp boats are docked in a grassy area,bird|boat,boat,,False
3156,000000003156.jpg,black and white image of a man crouching next to a toilet,person|sink|toilet,person|toilet,,False
3255,000000003255.jpg,a group of skiers stand in the snow on a mountain,backpack|person|skis,person,,False
3501,000000003501.jpg,"a bowl of rice, broccoli and red sauce",bowl|broccoli,bowl|broccoli,,False
3553,000000003553.jpg,a man riding on top of a skateboard over a wooden ramp,person|skateboard,person|skateboard,,False
3661,000000003661.jpg,several banana bunches in front of a computer desk,banana|cup|dining table|keyboard,banana|laptop|dining table,laptop,True
3845,000000003845.jpg,a plate of food with rice and vegetables,broccoli|carrot|cup|dining table|fork|spoon,,,False
