image_id,fname,caption
139,000000000139.jpg,a woman standing in a living room with a television
285,000000000285.jpg,a brown bear is sitting in the grass
632,000000000632.jpg,"a bedroom with a bed, dresser, and a window"
724,000000000724.jpg,a stop sign on a street corner with a dols sign on it
776,000000000776.jpg,a group of teddy bears sitting on top of a couch
785,000000000785.jpg,a woman in a red jacket skiing down a hill
802,000000000802.jpg,"a kitchen with a refrigerator, stove, and microwave"
872,000000000872.jpg,a baseball player is running to first base
885,000000000885.jpg,a man holding a tennis racquet on a tennis court
1000,000000001000.jpg,a group of children and adults posing for a picture
1268,000000001268.jpg,a woman taking a picture of a bird under a bridge
1296,000000001296.jpg,a woman holding a cell phone in her hand
1353,000000001353.jpg,a group of children riding on a miniature train
1425,000000001425.jpg,a half eaten sandwich on a plate with a cup of coffee
1490,000000001490.jpg,a man riding a surfboard on top of a body of water
1503,000000001503.jpg,"a desk with a laptop, monitor, keyboard and mouse"
1532,000000001532.jpg,a freeway with several signs above it and cars driving underneath
1584,000000001584.jpg,a red double decker bus driving down a street
1675,000000001675.jpg,a black and white cat sitting on top of a computer keyboard
1761,000000001761.jpg,two airplanes flying over a bridge and a building
1818,000000001818.jpg,a zebra is nursing from its mother in a field
1993,000000001993.jpg,"a bedroom with a bed, table, and chairs"
2006,000000002006.jpg,a purple bus is driving down the street
2149,000000002149.jpg,a bowl of green apples sitting on a table
2153,000000002153.jpg,a baseball player is up to bat at a game
2157,000000002157.jpg,"a table with a cake, fruit and wine glasses"
2261,000000002261.jpg,a man riding a wave on top of a surfboard
2299,000000002299.jpg,a group of children are posing for a picture
2431,000000002431.jpg,a plate of food with a napkin and a wine glass
2473,000000002473.jpg,a skier is in mid air after jumping off a hill
2532,000000002532.jpg,a person on skis standing on a snowy hill
2587,000000002587.jpg,a banana and a donut wrapped in plastic
2592,000000002592.jpg,a knife and a coffee mug on a table
2685,000000002685.jpg,a group of people standing around a bar
2923,000000002923.jpg,a field with boats and birds in the distance
3156,000000003156.jpg,a man sitting on a toilet in a bathroom
3255,000000003255.jpg,a group of people standing on top of a snow covered slope
3501,000000003501.jpg,"a bowl of rice, broccoli and red sauce"
3553,000000003553.jpg,a person riding a skateboard on a wooden ramp
3661,000000003661.jpg,a bunch of bananas sitting on top of a wooden table
3845,000000003845.jpg,a plate of food with rice and vegetables
3934,000000003934.jpg,a young girl playing a video game in a living room
4134,000000004134.jpg,two men shaking hands in a banquet hall
4395,000000004395.jpg,a man in a dress shirt and tie
4495,000000004495.jpg,"a living room with a couch, chair and television"
4765,000000004765.jpg,a man riding a wave on top of a surfboard
4795,000000004795.jpg,a cat is looking at a computer screen
5001,000000005001.jpg,a group of people standing around a ribbon cutting
5037,000000005037.jpg,a bus is parked on the side of the road
5060,000000005060.jpg,a man sitting on the floor taking a picture of himself in a mirror
5193,000000005193.jpg,a group of people holding surfboards in a room
5477,000000005477.jpg,a large jetliner sitting on top of an airport runway
5503,000000005503.jpg,a person standing over a toilet with their feet on the toilet seat
5529,000000005529.jpg,a man riding skis down a snow covered slope
5586,000000005586.jpg,a man standing on a tennis court holding a racquet
5600,000000005600.jpg,a couple of bowls of food on a table
5992,000000005992.jpg,a group of sheep standing next to a brick building
6012,000000006012.jpg,a bunch of bananas and an apple in a picture
6040,000000006040.jpg,a blue and white train traveling down tracks
6213,000000006213.jpg,"a bathroom with a sink, mirror, and bathtub"
6460,000000006460.jpg,a man riding a wave on top of a surfboard
6471,000000006471.jpg,a baseball player holding a bat on a field
6614,000000006614.jpg,a drawing of a bunch of fruit and nuts
6723,000000006723.jpg,a street with a few cars driving down it
6763,000000006763.jpg,a man and woman sitting at a bar
6771,000000006771.jpg,a woman in a costume is talking to a man
6818,000000006818.jpg,a bathroom with a toilet and a shower
6894,000000006894.jpg,a man is standing next to an elephant
6954,000000006954.jpg,a group of children sitting on the grass with frisbees
7088,000000007088.jpg,a little girl holding an umbrella in the rain
7108,000000007108.jpg,a group of elephants walking along a dirt road
7278,000000007278.jpg,a man riding a wave on top of a surfboard
7281,000000007281.jpg,two men riding horses on a beach near the ocean
7386,000000007386.jpg,a motorcycle with a side car attached to it
7511,000000007511.jpg,a man flying a kite on a beach
7574,000000007574.jpg,"a kitchen with a sink, refrigerator, dishwasher and a refrigerator"
7784,000000007784.jpg,a person is para sailing in the blue sky
7795,000000007795.jpg,a room with two beds and a television
7816,000000007816.jpg,a man riding a motorcycle down a curvy road
7818,000000007818.jpg,a table with a vase of flowers on it
7888,000000007888.jpg,a clock with a face on it is shown
7977,000000007977.jpg,a man riding a skateboard on top of a cement slab
7991,000000007991.jpg,a plate of carrots and green beans on a counter
8021,000000008021.jpg,a man in a suit is on a large screen
8211,000000008211.jpg,two men sitting on a curb next to a motorcycle
8277,000000008277.jpg,a plate with a bowl of broccoli and a bowl of chicken
8532,000000008532.jpg,a man wearing a hat and glasses standing in front of a building
8629,000000008629.jpg,a collage of photos of different types of pizza
8690,000000008690.jpg,two girls petting two goats in a fenced in area
8762,000000008762.jpg,a street light with a green light above it
8844,000000008844.jpg,a woman smiles behind a table of bananas
8899,000000008899.jpg,a fire hydrant in front of a building with graffiti on it
9378,000000009378.jpg,a man with long hair holding a yellow frisbee
9400,000000009400.jpg,a group of people sitting around a table with laptops
9448,000000009448.jpg,a little girl holding an umbrella on a sidewalk
9483,000000009483.jpg,a man standing in front of a desk with a computer on it
9590,000000009590.jpg,a group of men sitting around a table eating food
9769,000000009769.jpg,a red truck with a plow on the back of it
9772,000000009772.jpg,a bathroom with a large mirror and a sink
9891,000000009891.jpg,two men loading luggage into a car at an airport
9914,000000009914.jpg,"a plate with a burger, fries, and pickles"
10092,000000010092.jpg,a bed with a mosquito net hanging from it
10363,000000010363.jpg,a cat standing on the hood of a car
10583,000000010583.jpg,a plate of food with meat and gravy
10707,000000010707.jpg,a group of men sitting around a living room together
10764,000000010764.jpg,a baseball player kneeling down on a field
10977,000000010977.jpg,"a bathroom with a toilet, sink, and bathtub"
10995,000000010995.jpg,a bed with a plaid comforter and a window
11051,000000011051.jpg,a woman in a black dress is fixing a man's tie
11122,000000011122.jpg,a stop sign behind a fence in a yard
11149,000000011149.jpg,a man standing next to a couple of bikes
11197,000000011197.jpg,a man standing on the corner of a street
11511,000000011511.jpg,a statue of two people sitting on a bench
11615,000000011615.jpg,a street sign with several different signs on it
11699,000000011699.jpg,two women standing next to a suitcase at the airport
11760,000000011760.jpg,two zebras standing next to each other in a field
11813,000000011813.jpg,a camera and a laptop on a tripod
12062,000000012062.jpg,a sheep is standing on top of a pile of wool
12120,000000012120.jpg,a tennis match with a crowd watching
12280,000000012280.jpg,a woman with a suitcase walking through an airport
12576,000000012576.jpg,a table with pizzas and glasses of wine
12639,000000012639.jpg,a young boy holding a baseball bat on a field
12667,000000012667.jpg,a banana sitting on top of a telephone on a desk
12670,000000012670.jpg,a crowd of people walking down a street
12748,000000012748.jpg,a man holding a baby and petting a horse
13004,000000013004.jpg,a banana and a peanut butter in a bowl
13177,000000013177.jpg,a man working on a motorcycle tire on the ground
13201,000000013201.jpg,a man riding a skateboard down the side of a ramp
13291,000000013291.jpg,a group of people holding frisbees in a field
13348,000000013348.jpg,a large jetliner sitting on top of an airport tarmac
13546,000000013546.jpg,a man riding a skateboard on the side of a cement ramp
13597,000000013597.jpg,a piece of chocolate cake on a plate
13659,000000013659.jpg,a man sitting at a table with a laptop computer
13729,000000013729.jpg,a group of people standing around a living room holding nintendo wii controllers
13774,000000013774.jpg,a man standing on a beach at sunset
13923,000000013923.jpg,a living room with a table and chairs
14007,000000014007.jpg,a cat sitting on top of a refrigerator
14038,000000014038.jpg,a room with a lot of balloons and a table
14226,000000014226.jpg,a man sitting at a table with a laptop
14380,000000014380.jpg,a train traveling across a bridge over a river
14439,000000014439.jpg,a woman holding a kite in a park
14473,000000014473.jpg,a model train on a track with a fence
14831,000000014831.jpg,a cat laying on a bed with a blanket
14888,000000014888.jpg,a cow with red and white cups on its back
15079,000000015079.jpg,a sandwich cut in half on a plate
15254,000000015254.jpg,a plastic container filled with different types of food
15272,000000015272.jpg,a traffic light with a red light in front of a tree
15278,000000015278.jpg,a plate of broccoli and some kind of fish
15335,000000015335.jpg,a man and a child sitting at a table
15338,000000015338.jpg,a bus is parked on the side of the road
15440,000000015440.jpg,a stop sign on a pole on a city street
15497,000000015497.jpg,a cat laying on a black surface next to a computer mouse
15517,000000015517.jpg,a city street with buses and cars on it
15597,000000015597.jpg,a man riding a skateboard on top of a ramp
15660,000000015660.jpg,a man is windsurfing in the ocean
15746,000000015746.jpg,a red fire hydrant sitting in the grass
15751,000000015751.jpg,a group of birds standing on top of a wooden roof
15956,000000015956.jpg,a woman walking a horse in a barn
16010,000000016010.jpg,a group of animals grazing in a field
16228,000000016228.jpg,a horse drawn trolley is traveling down the street
16249,000000016249.jpg,a man sitting on a bench reading a book
16439,000000016439.jpg,a laptop computer sitting on top of a wooden desk
16451,000000016451.jpg,a beach with a few surfboards and a chair
16502,000000016502.jpg,a sheep standing on top of a rocky hill
16598,000000016598.jpg,a woman with blue hair taking a selfie
16958,000000016958.jpg,a living room with a fireplace and a chair
17029,000000017029.jpg,a dog jumping in the air to catch a frisbee
17031,000000017031.jpg,a giraffe is standing in front of a group of people
17115,000000017115.jpg,two zebras standing next to each other in a fenced in area
17178,000000017178.jpg,a group of horses standing on the side of a road
17182,000000017182.jpg,a blackboard and a wooden desk in a room
17207,000000017207.jpg,a bus is driving down the street in india
17379,000000017379.jpg,a bathroom with a television on the wall
17436,000000017436.jpg,a man sitting on a bench in front of a church
17627,000000017627.jpg,a street filled with lots of cars next to a building
17714,000000017714.jpg,a plate of food and a cup of coffee on a table
17899,000000017899.jpg,a woman is making cookies on a table
17905,000000017905.jpg,a man standing next to a traffic light
17959,000000017959.jpg,a group of kites that are in the grass
18150,000000018150.jpg,a man and a child are eating pizza
18193,000000018193.jpg,a woman sitting in a chair eating a piece of pizza
18380,000000018380.jpg,a group of people sitting around a table with plates of food
18491,000000018491.jpg,a baseball player sliding into home plate
18519,000000018519.jpg,a man riding a skateboard up the side of a ramp
18575,000000018575.jpg,a plate of food with a burger and fries
18737,000000018737.jpg,a red motorcycle parked on the side of a road
18770,000000018770.jpg,a man in a suit and tie looking off into the distance
18833,000000018833.jpg,a cat sleeping on top of a pair of shoes
18837,000000018837.jpg,a green truck with two men on top of it
19042,000000019042.jpg,a bird standing on a rock in the middle of a river
19109,000000019109.jpg,a row of scooters parked in front of a restaurant
19221,000000019221.jpg,a hand holding a piece of broccoli in a bowl
19402,000000019402.jpg,a man and a woman eating pizza in a restaurant
19432,000000019432.jpg,a man standing on a tennis court holding a racquet
19742,000000019742.jpg,a glass vase with a picture of a baby in it
19786,000000019786.jpg,a man is laughing while holding a camera
19924,000000019924.jpg,a woman in a hat smoking a cigarette
20059,000000020059.jpg,two zebras grazing in a grassy field next to a rock wall
20107,000000020107.jpg,a fire hydrant on a sidewalk next to a wall
20247,000000020247.jpg,two brown bears walking on a dirt road
20333,000000020333.jpg,a young boy in a tie is playing in a bucket
20553,000000020553.jpg,a teddy bear sitting on a chair in the middle of a desert
20571,000000020571.jpg,a boat docked at a dock with other boats
20992,000000020992.jpg,a woman is eating a hot dog outside
21167,000000021167.jpg,a man and a woman standing next to each other
21465,000000021465.jpg,a table with a shelf and a vase on it
21503,000000021503.jpg,a plate of food with a few pieces of bread
21604,000000021604.jpg,a man in a suit and tie with a light up tie
21839,000000021839.jpg,a man walking across a street at night
21879,000000021879.jpg,a woman riding a surfboard on a wave in the ocean
21903,000000021903.jpg,a man is petting an elephant behind a fence
22192,000000022192.jpg,a dog sitting on a bed with a pile of clothes
22371,000000022371.jpg,a man sitting at a desk with a laptop and pen
22396,000000022396.jpg,a plane flying in the sky with a half moon in the background
22479,000000022479.jpg,a man flying through the air while riding a skateboard
22589,000000022589.jpg,a sheep is standing behind a fence in a field
22623,000000022623.jpg,a close up of a cell phone with a picture on it
22705,000000022705.jpg,a woman in a black dress standing in a kitchen
22755,000000022755.jpg,a school bus is seen in a rear view mirror
22892,000000022892.jpg,a cat and a dog looking at each other
22935,000000022935.jpg,a woman in a blue uniform is playing soccer
22969,000000022969.jpg,two giraffes standing in a fenced in area
23023,000000023023.jpg,a black and white photo of luggage and a bag
23034,000000023034.jpg,a man is walking with two horses on a trail
23126,000000023126.jpg,a man riding a horse while holding a rope
23230,000000023230.jpg,a group of ducks swimming in a lake
23272,000000023272.jpg,a cat sitting on the hood of a car
23359,000000023359.jpg,a man flying through the air while riding a snowboard
23666,000000023666.jpg,a toilet and bathtub in a small bathroom
23751,000000023751.jpg,a statue of two people holding a kite
23781,000000023781.jpg,a table topped with baskets of vegetables and fruits
23899,000000023899.jpg,three men sitting on a couch playing a video game
23937,000000023937.jpg,a herd of cattle laying in a field next to a tree
24021,000000024021.jpg,a group of boys are posing for a picture
24027,000000024027.jpg,a kite flying in the air over a lush green field
24144,000000024144.jpg,a large pizza in a box on a table
24243,000000024243.jpg,a woman sitting on a refrigerator next to a man
24567,000000024567.jpg,a man in a hat is preparing hot dogs
24610,000000024610.jpg,"a living room with a couch, book shelf and a computer"
24919,000000024919.jpg,two elephants standing in a field with trees
25057,000000025057.jpg,a man holding a frisbee in a field
25096,000000025096.jpg,a boy cutting a cake with a knife
25139,000000025139.jpg,two zebras standing next to each other in a pen
25181,000000025181.jpg,a train station with two trains on the tracks
25228,000000025228.jpg,a woman sitting on a surfboard in the ocean
25386,000000025386.jpg,a man and woman sitting on a train eating food
25393,000000025393.jpg,two men in suits walking down a street
25394,000000025394.jpg,a man is pouring a glass of wine
25424,000000025424.jpg,a man is swinging a tennis racket at a ball
25560,000000025560.jpg,a cat is standing on a shelf in front of a television
25593,000000025593.jpg,a street sign with a bicycle and a man on it
25603,000000025603.jpg,a girl sitting at a table with a pizza and a glass of water
25986,000000025986.jpg,a table with a variety of food on it
26204,000000026204.jpg,a city street filled with traffic and a bus
26465,000000026465.jpg,a laptop computer sitting on top of a white table
26564,000000026564.jpg,"a desk with a computer, keyboard, mouse and books"
26690,000000026690.jpg,a man flying through the air while riding a skateboard
26926,000000026926.jpg,a fire hydrant with a face drawn on it
26941,000000026941.jpg,a cart full of luggage sitting outside of a building
27186,000000027186.jpg,a little girl holding a nintendo wii game controller
27620,000000027620.jpg,a desk with a laptop and a chair
27696,000000027696.jpg,a pizza with peppers and onions on a plate
27768,000000027768.jpg,a bus is parked on the side of the street
27932,000000027932.jpg,a baseball glove and a baseball hat on the ground
27972,000000027972.jpg,a man riding a wave on top of a surfboard
27982,000000027982.jpg,"a bathroom with a sink, toilet and mirror"
28285,000000028285.jpg,a white clock tower with a blue roof
28449,000000028449.jpg,a herd of elephants walking down a dirt road
28452,000000028452.jpg,a refrigerator with the door open and the door wide open
28809,000000028809.jpg,a bunch of bananas sitting on a table
28993,000000028993.jpg,a couple of fire hydrants sitting on the side of a road
29187,000000029187.jpg,a man riding a horse drawn carriage down a race track
29393,000000029393.jpg,a dog standing on a bench in a backyard
29397,000000029397.jpg,a person standing on a bench with a sign on it
29596,000000029596.jpg,"a living room with a couch, table and television"
29640,000000029640.jpg,a pan filled with broccoli and meat on a stove
29675,000000029675.jpg,three hot dogs with mustard on them on a plate
29984,000000029984.jpg,a couple of people are swimming in the ocean
30213,000000030213.jpg,"a kitchen with a table, refrigerator, sink and a chair"
30494,000000030494.jpg,a dog is walking in the woods with a frisbee
