image_id,caption,gt_objects,hallucinated,is_hall
139,a woman standing in a living room with a television,book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase,,False
285,a brown bear is sitting in the grass,bear,,False
632,"a bedroom with a bed, dresser, and a window",bed|book|chair|potted plant,,False
724,a stop sign on a street corner with a dols sign on it,car|stop sign|truck,,False
776,a group of teddy bears sitting on top of a couch,bear|bed|teddy bear,couch,True
785,a woman in a red jacket skiing down a hill,person|skis,,False
802,"a kitchen with a refrigerator, stove, and microwave",oven|refrigerator,microwave,True
872,a baseball player is running to first base,baseball glove|person|sports ball,,False
885,a man holding a tennis racquet on a tennis court,person|sports ball|tennis racket,,False
1000,a group of children and adults posing for a picture,backpack|handbag|person|tennis racket,,False
1268,a woman taking a picture of a bird under a bridge,backpack|bird|boat|cell phone|handbag|person,,False
1296,a woman holding a cell phone in her hand,cell phone|clock|person,,False
1353,a group of children riding on a miniature train,orange|person|train,,False
1425,a half eaten sandwich on a plate with a cup of coffee,bowl|dining table|sandwich,cup,True
1490,a man riding a surfboard on top of a body of water,person|surfboard,,False
1503,"a desk with a laptop, monitor, keyboard and mouse",apple|dining table|keyboard|laptop|mouse|tv,,False
1532,a freeway with several signs above it and cars driving underneath,car|truck,,False
1584,a red double decker bus driving down a street,bus|person,,False
1675,a black and white cat sitting on top of a computer keyboard,cat|keyboard|laptop,,False
1761,two airplanes flying over a bridge and a building,airplane|person,,False
1818,a zebra is nursing from its mother in a field,giraffe|person|zebra,,False
1993,"a bedroom with a bed, table, and chairs",bed|chair|dining table,,False
2006,a purple bus is driving down the street,bus|person|tie|traffic light,,False
2149,a bowl of green apples sitting on a table,apple|bowl,dining table,True
2153,a baseball player is up to bat at a game,baseball bat|person|sports ball,,False
2157,"a table with a cake, fruit and wine glasses",cake|cup|dining table|knife|sandwich|wine glass,,False
2261,a man riding a wave on top of a surfboard,person|surfboard,,False
2299,a group of children are posing for a picture,person|tie,,False
2431,a plate of food with a napkin and a wine glass,cup|dining table|knife|person|spoon|wine glass,,False
2473,a skier is in mid air after jumping off a hill,person|skis,,False
2532,a person on skis standing on a snowy hill,person|skis,,False
2587,a banana and a donut wrapped in plastic,banana|donut|sandwich,,False
