image_id,fname,caption,gt,mentioned,wrong,is_hall
139,000000000139.jpg,a woman standing in a living room with a television,book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase,person|tv,,False
285,000000000285.jpg,a brown bear is sitting in the grass,bear,bear,,False
632,000000000632.jpg,"a bedroom with a bed, dresser, and a window",bed|book|chair|potted plant,bed,,False
724,000000000724.jpg,a stop sign on a street corner with a dols sign on it,car|stop sign|truck,stop sign,,False
776,000000000776.jpg,a group of teddy bears sitting on top of a couch,bear|bed|teddy bear,teddy bear|couch,couch,True
785,000000000785.jpg,a woman in a red jacket skiing down a hill,person|skis,person,,False
802,000000000802.jpg,"a kitchen with a refrigerator, stove, and microwave",oven|refrigerator,refrigerator|oven|microwave,microwave,True
872,000000000872.jpg,a baseball player is running to first base,baseball glove|person|sports ball,person,,False
885,000000000885.jpg,a man holding a tennis racquet on a tennis court,person|sports ball|tennis racket,person,,False
1000,000000001000.jpg,a group of children and adults posing for a picture,backpack|handbag|person|tennis racket,person|person,,False
1268,000000001268.jpg,a woman taking a picture of a bird under a bridge,backpack|bird|boat|cell phone|handbag|person,person|bird,,False
1296,000000001296.jpg,a woman holding a cell phone in her hand,cell phone|clock|person,person|cell phone,,False
1353,000000001353.jpg,a group of children riding on a miniature train,orange|person|train,person|train,,False
1425,000000001425.jpg,a half eaten sandwich on a plate with a cup of coffee,bowl|dining table|sandwich,sandwich|cup,cup,True
1490,000000001490.jpg,a man riding a surfboard on top of a body of water,person|surfboard,person|surfboard,,False
1503,000000001503.jpg,"a desk with a laptop, monitor, keyboard and mouse",apple|dining table|keyboard|laptop|mouse|tv,dining table|laptop|tv|keyboard|mouse,,False
1532,000000001532.jpg,a freeway with several signs above it and cars driving underneath,car|truck,car,,False
1584,000000001584.jpg,a red double decker bus driving down a street,bus|person,,,False
1675,000000001675.jpg,a black and white cat sitting on top of a computer keyboard,cat|keyboard|laptop,cat|laptop|keyboard,,False
1761,000000001761.jpg,two airplanes flying over a bridge and a building,airplane|person,airplane,,False
1818,000000001818.jpg,a zebra is nursing from its mother in a field,giraffe|person|zebra,zebra|person,,False
1993,000000001993.jpg,"a bedroom with a bed, table, and chairs",bed|chair|dining table,bed|dining table|chair,,False
2006,000000002006.jpg,a purple bus is driving down the street,bus|person|tie|traffic light,,,False
2149,000000002149.jpg,a bowl of green apples sitting on a table,apple|bowl,bowl|apple|dining table,dining table,True
2153,000000002153.jpg,a baseball player is up to bat at a game,baseball bat|person|sports ball,person,,False
2157,000000002157.jpg,"a table with a cake, fruit and wine glasses",cake|cup|dining table|knife|sandwich|wine glass,dining table|cake|wine glass,,False
2261,000000002261.jpg,a man riding a wave on top of a surfboard,person|surfboard,person|surfboard,,False
2299,000000002299.jpg,a group of children are posing for a picture,person|tie,person,,False
2431,000000002431.jpg,a plate of food with a napkin and a wine glass,cup|dining table|knife|person|spoon|wine glass,,,False
2473,000000002473.jpg,a skier is in mid air after jumping off a hill,person|skis,person,,False
2532,000000002532.jpg,a person on skis standing on a snowy hill,person|skis,person|skis,,False
2587,000000002587.jpg,a banana and a donut wrapped in plastic,banana|donut|sandwich,banana|donut,,False
2592,000000002592.jpg,a knife and a coffee mug on a table,cup|dining table|knife,knife|dining table,,False
2685,000000002685.jpg,a group of people standing around a bar,bottle|cup|handbag|person|wine glass,person,,False
2923,000000002923.jpg,a field with boats and birds in the distance,bird|boat,boat|bird,,False
3156,000000003156.jpg,a man sitting on a toilet in a bathroom,person|sink|toilet,person|toilet,,False
3255,000000003255.jpg,a group of people standing on top of a snow covered slope,backpack|person|skis,person,,False
3501,000000003501.jpg,"a bowl of rice, broccoli and red sauce",bowl|broccoli,bowl|broccoli,,False
3553,000000003553.jpg,a person riding a skateboard on a wooden ramp,person|skateboard,person|skateboard,,False
3661,000000003661.jpg,a bunch of bananas sitting on top of a wooden table,banana|cup|dining table|keyboard,banana|dining table,,False
3845,000000003845.jpg,a plate of food with rice and vegetables,broccoli|carrot|cup|dining table|fork|spoon,,,False
