image_id,caption,gt,wrong,is_hall
139,a living room and dining area with yellow walls,book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase,,False
285,a large bear with a missing tooth and an alert look on its face,bear,,False
632,"a bedroom with a large window, bookshelf, and blue bed",bed|book|chair|potted plant,,False
724,a stop sign on a street corner with a dols sign on it,car|stop sign|truck,,False
776,three teddy bears laying on top of each other,bear|bed|teddy bear,,False
785,a woman in a red jacket skiing down a hill,person|skis,,False
802,a small kitchen with refrigerator and white stove,oven|refrigerator,,False
872,a baseball player is running to first base,baseball glove|person|sports ball,,False
885,a male tennis player is swinging his racket,person|sports ball|tennis racket,,False
1000,young boys and girls posing with their tennis rackets,backpack|handbag|person|tennis racket,,False
1268,a woman taking a picture of a bird under a bridge,backpack|bird|boat|cell phone|handbag|person,,False
1296,a woman looking at her phone with a hello kitty on the screen,cell phone|clock|person,,False
1353,children ride a kiddie car in an indoor area,orange|person|train,car,True
1425,a black and white photo of a half eaten sandwich,bowl|dining table|sandwich,,False
1490,a man on a surfboard paddling across a body of water,person|surfboard,,False
1503,a white computer desk with various computers on it,apple|dining table|keyboard|laptop|mouse|tv,,False
1532,a freeway with several signs above it and cars driving underneath,car|truck,,False
1584,a red double decker bus is shown in a city,bus|person,,False
1675,a black and white cat is laying on the back of a computer,cat|keyboard|laptop,,False
1761,two planes flying over the sydney harbour bridge,airplane|person,,False
1818,zebras are rubbing noses against each other in black and white,giraffe|person|zebra,,False
1993,a purple and blue bed in the corner of a room,bed|chair|dining table,,False
2006,the bus is purple with designs on it,bus|person|tie|traffic light,,False
2149,close up image of green apples in bowl,apple|bowl,,False
2153,a baseball player is up to bat at a game,baseball bat|person|sports ball,,False
2157,"a table with a cake, fruit and wine glasses",cake|cup|dining table|knife|sandwich|wine glass,,False
2261,a person riding a surf board in the ocean,person|surfboard,,False
2299,group photograph of children with older school names,person|tie,,False
2431,"a table holding two cups, and some bread and wine",cup|dining table|knife|person|spoon|wine glass,,False
2473,a man skiing jumping high into the air with trees in the background,person|skis,,False
2532,person standing at the top of a snowy mountain with ski poles,person|skis,,False
2587,a banana and a doughnut in a bag,banana|donut|sandwich,,False
2592,mug with the pirate's chest emblem and a large knife sitting on the counter,cup|dining table|knife,,False
2685,people are shopping at an antiques and wine shop,bottle|cup|handbag|person|wine glass,,False
2923,large shrimp boats are docked in a grassy area,bird|boat,,False
3156,black and white image of a man crouching next to a toilet,person|sink|toilet,,False
3255,a group of skiers stand in the snow on a mountain,backpack|person|skis,,False
3501,"a bowl of rice, broccoli and red sauce",bowl|broccoli,,False
3553,a man riding on top of a skateboard over a wooden ramp,person|skateboard,,False
3661,several banana bunches in front of a computer desk,banana|cup|dining table|keyboard,laptop,True
3845,a plate of food with rice and vegetables,broccoli|carrot|cup|dining table|fork|spoon,,False
3934,children playing on a tv remote in front of a couch,couch|cup|person|remote|wine glass,tv,True
4134,two men in business attire shaking hands during a formal dinner,chair|dining table|person|tie|wine glass,,False
4395,man wearing dress shirt and tie in business wear,person|tie,,False
4495,two chairs with footstools are facing toward an old tv set,chair|couch|tv,,False
4765,a man riding a wave on a surfboard,person|surfboard,,False
4795,a gray cat sitting in front of a computer monitor and phone,cat|cell phone|laptop|tv,,False
5001,a group of people standing around with a kid cutting a ribbon,bicycle|handbag|person|scissors,,False
5037,a bus pulls up at a stop in the city,bus|car|person,,False
5060,a man sitting on the floor in front of a mirror,cell phone|person,,False
5193,group of surfers posing in an garage with their boards,bottle|person|surfboard,,False
5477,the large airliner is parked in an airport,airplane,,False
5503,a view from above looking into a toilet,airplane|person|toilet,,False
5529,"a man skiing down a snowy mountain, with two poles",person|skis,,False
5586,a man taking a swing at a tennis ball,person|sports ball|tennis racket,,False
5600,a close up of some food in metal containers,bowl|dining table|spoon,,False
5992,three sheep standing next to a brick building,sheep,,False
6012,an abstract photo has bananas and an apple in each other,apple|banana,,False
6040,a light rail in a street with cars on the sides,car|person|train|truck,,False
6213,the large bathroom has a walk in shower and double sinks,sink,,False
6460,black and white image of a surfer jumping over a wave,person|surfboard,,False
6471,a baseball player taking a swing at the ball,baseball bat|baseball glove|bench|bottle|person,sports ball,True
6614,"a black and white picture of some almonds, apples and grapes",apple|orange,,False
6723,a long street lined with buildings next to a highway,bicycle|bus|car|truck,,False
6763,two people in front of the bar smiling,cell phone|dining table|person|tie|tv,,False
6771,the woman is wearing costume and a gold hat,cell phone|person,,False
6818,"a white bathroom with a black window, toilet and buckets",toilet,,False
6894,man with sunglasses holding elephants ears while looking at the camera,elephant|person|truck,,False
6954,a group of children sit in a grassy area holding frisbees,frisbee|person,,False
7088,small child in red jacket holding umbrella while standing in street,car|person|truck|umbrella,,False
7108,an adult elephant walks through the mud with another elephant in the background,elephant,person,True
7278,a man in red and green shirt surfing on an ocean wave,person|surfboard,,False
