image_id,fname,caption,gt,mentioned,wrong,is_hall
139,000000000139.jpg,a living room and dining area with yellow walls,book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase,,,False
285,000000000285.jpg,a brown bear is sitting in the grass,bear,bear,,False
632,000000000632.jpg,"a bedroom with a large window, bookshelf, and blue bed",bed|book|chair|potted plant,bed,,False
724,000000000724.jpg,a stop sign on a street corner with a dols sign on it,car|stop sign|truck,stop sign,,False
776,000000000776.jpg,three teddy bears laying on top of each other,bear|bed|teddy bear,teddy bear,,False
785,000000000785.jpg,a woman in a red jacket skiing down a hill,person|skis,person,,False
802,000000000802.jpg,a view of a small kitchen with white appliances,oven|refrigerator,,,False
872,000000000872.jpg,a baseball player is running to first base,baseball glove|person|sports ball,person,,False
885,000000000885.jpg,a man holding a tennis racquet on a court,person|sports ball|tennis racket,person,,False
1000,000000001000.jpg,a tennis team posing for a group photo,backpack|handbag|person|tennis racket,,,False
1268,000000001268.jpg,people taking pictures of a lake below a large bridge,backpack|bird|boat|cell phone|handbag|person,person,,False
1296,000000001296.jpg,the young woman has an electronic device in her hand,cell phone|clock|person,person,,False
1353,000000001353.jpg,children ride a kiddie car in an indoor area,orange|person|train,person|car,car,True
1425,000000001425.jpg,a black and white photo of a half eaten sandwich,bowl|dining table|sandwich,sandwich,,False
1490,000000001490.jpg,a man on a surf board with a paddle,person|surfboard,person,,False
1503,000000001503.jpg,a white computer desk with various computers on it,apple|dining table|keyboard|laptop|mouse|tv,laptop|dining table|laptop,,False
1532,000000001532.jpg,several highway signs on an overpass above a highway,car|truck,,,False
1584,000000001584.jpg,a red double decker bus is shown in a city,bus|person,,,False
1675,000000001675.jpg,a black and white cat sitting on top of a keyboard,cat|keyboard|laptop,cat|keyboard,,False
1761,000000001761.jpg,two planes flying over the sydney harbour bridge,airplane|person,airplane,,False
1818,000000001818.jpg,black and white photograph of zebra feeding with young,giraffe|person|zebra,zebra,,False
1993,000000001993.jpg,this bedroom is decorated in brick and purple tones,bed|chair|dining table,,,False
2006,000000002006.jpg,the bus is purple with designs on it,bus|person|tie|traffic light,,,False
2149,000000002149.jpg,close up image of green apples in bowl,apple|bowl,apple|bowl,,False
2153,000000002153.jpg,an umpire and catcher on the field during a baseball game,baseball bat|person|sports ball,,,False
2157,000000002157.jpg,dessert plates and deserts are scattered on a round red table,cake|cup|dining table|knife|sandwich|wine glass,dining table,,False
2261,000000002261.jpg,a person riding a surf board in the ocean,person|surfboard,person,,False
2299,000000002299.jpg,group photograph of children with older school names,person|tie,person,,False
2431,000000002431.jpg,a white plate topped with plates and napkins,cup|dining table|knife|person|spoon|wine glass,,,False
2473,000000002473.jpg,a skier is in mid air after jumping off a hill,person|skis,person,,False
2532,000000002532.jpg,a man on skies walks up a hill,person|skis,person,,False
2587,000000002587.jpg,an almost eaten banana and a plastic bag,banana|donut|sandwich,banana,,False
2592,000000002592.jpg,a skull and crossbone on a coffee cup,cup|dining table|knife,cup,,False
