image_id,caption,gt,wrong,is_hall
139,a living room and dining area with yellow walls,book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase,,False
285,a brown bear is sitting in the grass,bear,,False
632,"a bedroom with a large window, bookshelf, and blue bed",bed|book|chair|potted plant,,False
724,a stop sign on a street corner with a dols sign on it,car|stop sign|truck,,False
776,three teddy bears laying on top of each other,bear|bed|teddy bear,,False
785,a woman in a red jacket skiing down a hill,person|skis,,False
802,a view of a small kitchen with white appliances,oven|refrigerator,,False
872,a baseball player is running to first base,baseball glove|person|sports ball,,False
885,a man holding a tennis racquet on a court,person|sports ball|tennis racket,,False
1000,a tennis team posing for a group photo,backpack|handbag|person|tennis racket,,False
1268,people taking pictures of a lake below a large bridge,backpack|bird|boat|cell phone|handbag|person,,False
1296,the young woman has an electronic device in her hand,cell phone|clock|person,,False
1353,children ride a kiddie car in an indoor area,orange|person|train,car,True
1425,a black and white photo of a half eaten sandwich,bowl|dining table|sandwich,,False
1490,a man on a surf board with a paddle,person|surfboard,,False
1503,a white computer desk with various computers on it,apple|dining table|keyboard|laptop|mouse|tv,,False
1532,several highway signs on an overpass above a highway,car|truck,,False
1584,a red double decker bus is shown in a city,bus|person,,False
1675,a black and white cat sitting on top of a keyboard,cat|keyboard|laptop,,False
1761,two planes flying over the sydney harbour bridge,airplane|person,,False
1818,black and white photograph of zebra feeding with young,giraffe|person|zebra,,False
1993,this bedroom is decorated in brick and purple tones,bed|chair|dining table,,False
2006,the bus is purple with designs on it,bus|person|tie|traffic light,,False
2149,close up image of green apples in bowl,apple|bowl,,False
2153,an umpire and catcher on the field during a baseball game,baseball bat|person|sports ball,,False
2157,dessert plates and deserts are scattered on a round red table,cake|cup|dining table|knife|sandwich|wine glass,,False
2261,a person riding a surf board in the ocean,person|surfboard,,False
2299,group photograph of children with older school names,person|tie,,False
2431,a white plate topped with plates and napkins,cup|dining table|knife|person|spoon|wine glass,,False
2473,a skier is in mid air after jumping off a hill,person|skis,,False
2532,a man on skies walks up a hill,person|skis,,False
2587,an almost eaten banana and a plastic bag,banana|donut|sandwich,,False
2592,a skull and crossbone on a coffee cup,cup|dining table|knife,,False
2685,people are shopping at an antiques and wine shop,bottle|cup|handbag|person|wine glass,,False
2923,large shrimp boats are docked in a grassy area,bird|boat,,False
3156,a man sitting on a toilet in a bathroom,person|sink|toilet,,False
3255,group of people standing in the snow near mountains,backpack|person|skis,,False
3501,"the meal on the plate consists of rice, broccoli and bean",bowl|broccoli,,False
3553,a close up shot of someone riding a skateboard,person|skateboard,,False
3661,a group of bananas sitting on top of a wooden counter,banana|cup|dining table|keyboard,,False
3845,a plate of food with rice and vegetables,broccoli|carrot|cup|dining table|fork|spoon,,False
3934,a group of people standing around a living room,couch|cup|person|remote|wine glass,,False
4134,two men shaking hands in a banquet hall,chair|dining table|person|tie|wine glass,,False
4395,a man is dressed nicely and is talking,person|tie,,False
4495,two chairs with footstools are facing toward an old tv set,chair|couch|tv,,False
4765,a surfer riding the waves on his surf board,person|surfboard,,False
4795,a black cat sitting in front of a laptop,cat|cell phone|laptop|tv,,False
5001,a man cutting a ribbon for a little girl,bicycle|handbag|person|scissors,,False
5037,a bus pulls up at a stop in the city,bus|car|person,,False
5060,man sitting on the floor in front of a mirror,cell phone|person,,False
5193,group of surfers posing in an garage with their boards,bottle|person|surfboard,,False
5477,the large airliner is parked in an airport,airplane,,False
5503,a view from above looking into a toilet,airplane|person|toilet,,False
5529,"a man skiing down a snowy mountain, with two poles",person|skis,,False
5586,the person is playing tennis on the court,person|sports ball|tennis racket,,False
5600,a close up of some food in metal containers,bowl|dining table|spoon,,False
5992,three sheep standing next to a brick building,sheep,,False
6012,two bananas and an apple are connected together,apple|banana,,False
6040,a light rail in a street with cars on the sides,car|person|train|truck,,False
6213,the bathroom is clean and ready for guests to use,sink,,False
6460,black and white image of a surfer jumping over a wave,person|surfboard,,False
6471,a batter at home plate taking the pitch in a baseball game,baseball bat|baseball glove|bench|bottle|person,,False
6614,the black and white drawing shows nuts with fruits,apple|orange,,False
6723,a long street lined with buildings next to a highway,bicycle|bus|car|truck,,False
6763,a smiling couple is sitting at a bar,cell phone|dining table|person|tie|tv,,False
6771,the woman is wearing costume and a gold hat,cell phone|person,,False
6818,there is a pipe and water buckets in the corner,toilet,,False
6894,man with sunglasses holding elephants ears while looking at the camera,elephant|person|truck,,False
6954,four children are sitting down in the grass,frisbee|person,,False
7088,a young girl holding an umbrella on a wet sidewalk,car|person|truck|umbrella,,False
7108,elephants are seen walking next to each other,elephant,,False
7278,a man surfing on top of a wave,person|surfboard,,False
